Date,1st instar,2nd instar,3rd instar,4th instar ,5th instar,Pupae,Female moth,Male Moth,Dead female,Dead Male,# of Larvae Added,# of Egg Masses,# of Eggs 
2017-07-05 12:00 AM,,,14,1,,,,,,,,,
2017-07-07 12:00 AM,,,7,5,,,,,,,,,
2017-07-09 12:00 AM,,,,5,5,,,,,,,,
2017-07-11 12:00 AM,,,,,3,7,,,,,,,
2017-07-13 12:00 AM,,,,,1,9,,,,,,,
2017-07-15 12:00 AM,,,,,,8,,,,,,,
2017-07-17 12:00 AM,,,,,,5,2,1,,,,,
2017-07-19 12:00 AM,,,,,,3,2,2,,,,,
2017-07-21 12:00 AM,,,,,,,4,3,,,,,
2017-07-23 12:00 AM,,,,,,,3,3,1,,,,
2017-07-25 12:00 AM,,,,,,,,,,,,,
2017-07-27 12:00 AM,,,,,,,2,2,1,1,,,
2017-07-29 12:00 AM,7,,,,,,,,2,2,,,
2017-07-31 12:00 AM,14,,,,,,,,,,,,
2017-08-02 12:00 AM,6,,,,,,,,,,,,
2017-08-04 12:00 AM,3,2,,,,,,,,,,,
2017-08-06 12:00 AM,,2,1,,,,,,,,,,
2017-08-08 12:00 AM,,1,2,,,,,,,,,,
2017-08-10 12:00 AM,,2,1,,,,,,,,,,
2017-08-12 12:00 AM,,,2,1,,,,,,,,,
2017-08-14 12:00 AM,,,,3,,,,,,,,,
2017-08-16 12:00 AM,,,,3,,,,,,,,,
2017-08-18 12:00 AM,,,,3,,,,,,,,,
2017-08-20 12:00 AM,,,,1,2,,,,,,,,
2017-08-22 12:00 AM,,,,,1,2,,,,,,,
2017-08-24 12:00 AM,,,,,,3,,,,,,,
2017-08-26 12:00 AM,,,,,,2,,1,,,,,
2017-08-28 12:00 AM,,,,,,2,,1,,,,,
2017-08-30 12:00 AM,,,,,,2,,1,,,,,
2017-09-01 12:00 AM,,,,,,,1,,1,1,,,
2017-09-03 12:00 AM,,,,,,,1,,,,,,
2017-09-05 12:00 AM,,,,,,,1,,,,,,
2017-09-07 12:00 AM,,,,,,,1,,,,,,
2017-09-09 12:00 AM,,,,,,,,,1,,,,
2017-09-11 12:00 AM,,,,,,,,,,,,,
